id,date,time,status,home_team,away_team,home_score,away_score,venue,address,instagram_url,notes,phase,round
2025-26-plt-01,2025-11-08,19:00,final,boys-90-fiumicino,nerone,46,50,Boys 90 Fiumicino,"Via del Faro 225, Fiumicino (RM)",https://www.instagram.com/p/DQzJBbjiOsd/|https://www.instagram.com/p/DQ10ar0iJjB/|https://www.instagram.com/reel/DRACF2siIEn/,,,
2025-26-plt-02,2025-11-23,20:30,final,nerone,club-marino-lions,60,64,Campo 4Kasette,"Via Nettunense km36.5, (4Kasette), Anzio (RM)",https://www.instagram.com/p/DRXGfCtiOzn/|https://www.instagram.com/p/DRZrPMeiMc4/|https://www.instagram.com/p/DRe1bzBiAXi/,,,
2025-26-plt-03,2025-11-30,20:30,final,nerone,elite-roma-all-saints,63,50,Campo 4Kasette,"Via Nettunense km36.5, (4Kasette), Anzio (RM)",https://www.instagram.com/p/DRpOD7BCGTS/|https://www.instagram.com/p/DRrun3FCB52/|https://www.instagram.com/p/DRuKYediKGs/,,,
2025-26-plt-04,,,final,nerone,boys-90-fiumicino,20,0,,,,Risultato ufficiale omologato
2025-26-plt-05,2026-02-03,21:15,final,tivoli-basket,nerone,63,70,Istituto Baccelli,"Viale dei Pini 19, Tivoli (RM)",https://www.instagram.com/p/DUTKQOzCGTq/|https://www.instagram.com/p/DUVqSawiM2j/,,,
2025-26-plt-06,2026-02-08,20:00,final,club-marino-lions,nerone,55,58,Palasport Cava dei Selci,"Via Appia km18,4, Marino (RM)",https://www.instagram.com/p/DUdgoCNiN_D/|https://www.instagram.com/p/DUgKh37iMqn/|https://www.instagram.com/p/DUitfhFiMHE/|https://www.instagram.com/p/DUn81UEiPhS/,,,
2025-26-plt-07,,,final,nerone,basket-palestrina,20,0,,,,Risultato ufficiale omologato
2025-26-plt-08,2026-03-08,18:30,final,free-mind-roma,nerone,73,78,Flami&Ale,"Via di Torre Spaccata 155, Roma",https://www.instagram.com/p/DVoDCmSiBaJ/|https://www.instagram.com/p/DVq-9WtiJZj/,,,
2025-26-plt-09,2026-03-15,20:30,final,nerone,delfino-basket-anzio,65,70,Campo 4Kasette,"Via Nettunense km36.5, (4Kasette), Anzio (RM)",https://www.instagram.com/p/DV6HVNpCFKX/|https://www.instagram.com/p/DV9Ef_AiGKd/,,,
2025-26-plt-10,2026-03-25,20:30,final,evergreen-la-squad,nerone,71,51,Liceo Volterra,"Via dell'Acqua Acetosa 8A, Ciampino (RM)",https://www.instagram.com/p/DWUOMNdCGo_/|https://www.instagram.com/p/DWZuBltDVhO/,,,
2025-26-plt-11,2026-03-30,21:15,final,delfino-basket-anzio,nerone,60,55,Campo 4Kasette,"Via Nettunense km36.5, (4Kasette), Anzio (RM)",https://www.instagram.com/p/DWgyiGNCNB1/|https://www.instagram.com/p/DWl_4JNCC_J/,,,
2025-26-plt-12,2026-04-08,20:30,final,nerone,atletico-san-lorenzo,50,64,Campo 4Kasette,"Via Nettunense km36.5, (4Kasette), Anzio (RM)",https://www.instagram.com/p/DW34ZrZiH4u/|https://www.instagram.com/p/DW_y1tDiPyW/,,,
2025-26-plt-13,2026-04-12,20:30,final,nerone,tivoli-basket,62,63,Campo 4Kasette,"Via Nettunense km36.5, (4Kasette), Anzio (RM)",https://www.instagram.com/p/DXCULRGiO6H/,,,
2025-26-plt-14,2026-02-18,20:15,final,elite-roma-all-saints,nerone,53,60,Colle La Salle,"Via dell'Imbrecciato 181, Roma",https://www.instagram.com/p/DU5_umAiNec/|https://www.instagram.com/p/DU-3HX3iDfP/,,,
2025-26-plt-15,2026-02-15,17:00,final,basket-palestrina,nerone,68,66,Palestrina,"Via di Valle Zampea 2, Palestrina (RM)",https://www.instagram.com/p/DUv5VxWiIrV/|https://www.instagram.com/p/DUx9s8dCGfc/,,,
2025-26-plt-16,2026-01-04,20:30,final,nerone,free-mind-roma,68,65,Campo 4Kasette,"Via Nettunense km36.5, (4Kasette), Anzio (RM)",https://www.instagram.com/p/DTDnCefiCoJ/|https://www.instagram.com/p/DTFtJW3iAC-/,,,
2025-26-plt-17,,,final,nerone,evergreen-la-squad,20,0,,,,Risultato ufficiale omologato
2025-26-plt-18,2025-12-11,21:15,final,atletico-san-lorenzo,nerone,55,43,C.S. Cavalieri di Colombo,"Via dei Sabelli 88/c, Roma",https://www.instagram.com/p/DSFY7H1CJk5/|https://www.instagram.com/p/DSH-isICPPE/,,,
2025-26-plt-playin-01,2026-04-26,20:30,final,nerone,club-marino-lions,71,51,Campo 4Kasette,"Via Nettunense km36.5, (4Kasette), Anzio (RM)",https://www.instagram.com/p/DXmSsKZiPqg/|https://www.instagram.com/p/DXpHuAfCBt4/,,play-in,Play-in · Girone 1-4-6
2025-26-plt-playin-02,2026-05-03,20:00,final,club-marino-lions,nerone,59,61,Palasport Cava dei Selci,"Via Appia km18,4, Marino (RM)",https://www.instagram.com/p/DX4WPSviGzv/|https://www.instagram.com/p/DX7RRiYiI5a/,,play-in,Play-in · Girone 1-4-6
2025-26-plt-playin-03,2026-05-17,21:00,final,nerone,atletico-san-lorenzo,53,47,Campo 4Kasette,"Via Nettunense km36.5, (4Kasette), Anzio (RM)",https://www.instagram.com/p/DYcUR9TorLb/|https://www.instagram.com/p/DYe5d6eItra/,,play-in,Play-in · Girone 1-4-6
