season,competition,player_id,number,role,active
2026-27,,andrea-piccolo,0,,true
2026-27,,lorenzo-pettineo,14,,true
2026-27,,marco-de-saverio,4,,true
2026-27,,riccardo-mastroianni,10,,true
2026-27,,alessandro-bucci,,,true
2026-27,,matteo-bertoni,,,true
2026-27,,matteo-ceci,36,,true
2026-27,,lorenzo-de-vita,18,,true
2026-27,,valerio-di-cicco,,,true
2026-27,,cristiano-fabbri,,,true
2026-27,,fabio-massimo-perna,,,true
2026-27,,marco-paterlini,9,,true
2026-27,,gabriele-stirpe,,,true
2026-27,,matteo-virzi,,,true
2026-27,,stefano-ciuffetti,,,true
2026-27,,davide-incoronato,,,true
2026-27,,andrea-balistreri,,,true
2026-27,,marco-dalfonso,,,true
2026-27,,gianluca-fabbri,91,,true
2026-27,,alessandro-graziosi,,,true
2026-27,,francesco-graziosi,,,true
2026-27,,mirko-gentile,1,,true
2026-27,,alessio-marsili,2,,true
2026-27,,franko-maione-buch,99,,true
2026-27,,lorenzo-minoccheri,21,,true
2026-27,,claudio-spagnoli,3,,true
2026-27,,michele-magrini,5,,true
